Model,Train_set,Test_set,R²,RMSE,MAE,MAPE
XGBoost,plus,plus,0.7312675429358484,0.44371901172920425,0.321745261748637,892.4185218275413
GBR,plus,plus,0.7226144951624374,0.45080617566873654,0.32383122472691667,872.6470370994526
LightGBM,plus,plus,0.7151228454421076,0.45685332172344084,0.3252305438612202,905.0279474123196
ExtraRandomTrees,plus,plus,0.7044415032443501,0.4653392655559114,0.33901870412675383,890.0890005590061
KernelRidge,plus,plus,0.687562952339375,0.47844193505934923,0.34667147358468137,827.3617377061593
XGBoost,dft,dft,0.6875243688095101,0.4784714760644056,0.34026652309135197,834.1625691319862
GBR,dft,dft,0.6843963023827262,0.48086040395693147,0.345399139936764,830.0932793653976
SVR,plus,plus,0.6780444472921997,0.48567520861778307,0.33868245914949446,869.8756949892296
RandomForest,plus,plus,0.677686293508114,0.48594527394717896,0.3624436386066764,893.6057266846499
ExtraRandomTrees,dft,dft,0.6754335369865692,0.4876405326119628,0.3535193270230608,813.2867555682808
LightGBM,dft,dft,0.6742178072915588,0.48855295738614013,0.3505609220353501,844.2359476065919
RandomForest,dft,dft,0.6547835193821929,0.5029140119772686,0.3739680021572558,874.1647059394138
KernelRidge,dft,dft,0.6097309629431358,0.5347244272521754,0.39359263053034965,855.596829145589
SVR,dft,dft,0.5967489431580992,0.5435452848595922,0.38723014883294593,892.0996922057835
Ridge,plus,plus,0.43732884507043435,0.6420595372926439,0.5120875595823385,1019.5797578213046
Ridge,dft,dft,0.3290673469266868,0.7011120637548929,0.5741265673542509,1148.4562917289577
Dummy,plus,plus,-0.00016154001506496485,0.8560183030392349,0.7320512638396205,1486.0879028780635
Dummy,dft,dft,-0.00016154001506496485,0.8560183030392349,0.7320512638396205,1486.0879028780635
